Age,Attrition,BusinessTravel,Department,DistanceFromHome,Gender,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
42,No,Travel_Rarely,Sales,8,Male,2,2,6825,0,11,3,4,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,Female,3,4,10248,3,14,3,4,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,Female,5,1,18947,3,12,3,4,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,Male,1,4,2496,4,11,3,4,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,Male,2,4,6465,2,13,3,4,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,Male,1,3,2206,1,13,3,1,5,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,Male,2,4,2086,3,14,3,3,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,Male,1,4,2293,2,16,3,1,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,Female,1,3,2645,1,12,3,4,3,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,Male,1,3,2683,1,14,3,3,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,Female,1,4,2014,1,13,3,1,3,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,Female,1,1,3419,9,14,3,4,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,Female,2,1,5376,2,19,3,1,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,Male,1,4,1951,1,12,3,3,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,Female,1,1,2341,1,13,3,4,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,Male,1,3,2293,1,12,3,3,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,Male,3,3,8726,1,15,3,4,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,Female,2,4,4011,1,23,4,4,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,Female,5,3,19545,1,12,3,4,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,Male,2,3,4568,0,20,4,3,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,Male,1,2,3022,4,21,4,1,1,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,Male,2,4,5772,4,21,4,3,4,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,Male,1,4,2269,1,19,3,4,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,Male,3,3,5381,9,13,3,4,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,Male,1,3,3441,1,13,3,3,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,Female,2,1,5454,5,21,4,3,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,Male,3,1,9884,2,13,3,3,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,Female,2,4,4157,7,19,3,3,2,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,Female,3,4,13458,1,12,3,3,1,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,Male,3,1,9069,1,22,4,4,3,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,Female,1,1,4014,3,15,3,3,3,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,Male,2,4,5915,3,22,4,4,3,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,Male,2,3,5993,1,18,3,3,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,Male,2,4,6162,1,22,4,2,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,Female,2,4,2406,1,11,3,4,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,Female,5,3,18740,5,12,3,4,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,Female,3,1,7637,7,11,3,4,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,Female,3,3,10096,1,13,3,2,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,Female,4,3,14756,2,14,3,3,2,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,Male,2,2,6499,1,13,3,3,3,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,Male,3,1,9724,2,17,3,3,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,Male,1,1,2194,4,13,3,4,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,Male,1,3,3388,0,17,3,1,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,Female,2,3,5473,7,11,3,4,2,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,Male,1,2,2703,0,23,4,4,3,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,Male,1,2,2501,1,17,3,2,4,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,Male,2,2,6220,1,17,3,2,3,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,Female,1,4,3038,3,12,3,2,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,Female,2,4,4424,1,23,4,4,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,Male,2,1,4312,0,14,3,2,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,Male,3,1,13245,4,14,3,2,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,Male,3,3,13664,4,13,3,1,3,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,Male,2,2,5021,8,22,4,4,2,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,Male,2,4,5126,1,12,3,3,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,Male,1,3,2859,1,18,3,1,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,Male,3,4,10239,3,14,3,4,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,Female,2,4,5329,7,12,3,4,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,Male,2,2,4325,1,15,3,3,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,Male,3,4,7260,4,11,3,1,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,Male,1,1,2322,3,13,3,3,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,Male,1,4,2075,3,23,4,2,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,Male,2,4,4152,1,19,3,1,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,Male,3,4,9619,1,16,3,4,3,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,Male,4,2,13503,1,22,4,4,3,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,Male,2,4,5441,0,22,4,4,2,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,Female,2,2,5209,1,12,3,2,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,Male,3,1,10673,2,13,3,3,5,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,Male,2,3,5010,1,16,3,1,0,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,Female,3,3,13549,9,12,3,1,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,Female,2,3,4999,0,21,4,1,2,2,3,2,0,2
28,No,Non-Travel,Sales,4,Male,2,3,4221,1,15,3,2,3,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,Male,4,3,13872,0,13,3,3,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,Male,2,2,2042,4,12,3,3,3,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,Male,1,1,2073,4,22,4,4,3,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,Male,1,1,2956,1,13,3,4,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,Female,1,4,2926,1,18,3,2,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,Female,2,3,4809,1,14,3,3,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,Male,2,4,5163,5,14,3,4,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,Female,5,4,18844,9,21,4,4,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,Female,5,2,18172,3,19,3,1,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,Male,2,3,5744,1,11,3,4,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,Male,1,4,2889,1,11,3,3,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,Female,1,4,2871,1,15,3,3,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,Female,3,1,7484,3,20,4,3,1,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,Male,2,3,6074,1,24,4,4,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,Female,4,4,17328,2,12,3,3,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,Male,1,3,2774,0,12,3,3,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,Female,2,2,4505,6,15,3,3,3,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,Male,3,4,7428,2,12,3,1,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,Female,3,1,11631,2,12,3,4,6,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,Female,3,4,9738,0,14,3,3,6,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,Female,1,4,2835,5,22,4,1,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,Male,4,4,16959,1,12,3,4,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,Male,1,3,2613,1,25,4,3,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,Male,2,2,6146,0,13,3,1,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,Female,1,2,4963,9,18,3,1,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,Male,5,3,19537,7,13,3,3,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,Male,2,3,6172,4,18,3,2,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,Female,1,2,2368,1,19,3,3,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,Female,3,4,10312,1,12,3,4,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,Male,1,3,1675,1,19,3,4,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,Male,1,4,2523,0,14,3,3,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,Female,2,1,6567,1,14,3,3,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,Female,1,3,4739,4,12,3,4,2,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,Female,3,4,9208,4,11,3,4,3,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,Female,2,3,4559,3,11,3,3,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,Male,3,3,8189,3,13,3,3,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,Female,1,3,2942,1,23,4,4,3,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,Male,2,2,4941,6,20,4,4,0,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,Male,3,4,10650,2,15,3,4,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,Female,2,3,5902,4,14,3,3,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,Male,2,3,8639,2,18,3,4,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,Male,2,4,6347,0,19,3,4,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,Female,1,1,4200,7,22,4,1,2,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,Male,1,4,3452,5,13,3,2,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,Female,2,3,4317,3,20,4,2,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,Female,1,3,2632,1,14,3,3,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,Male,2,4,4668,0,17,3,4,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,Female,1,1,3204,5,14,3,4,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,Male,1,4,2720,0,13,3,4,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,Male,4,1,17181,4,13,3,2,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,Male,1,1,2238,2,21,4,4,2,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,Female,1,2,1483,1,14,3,4,3,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,Female,2,2,5605,1,11,3,1,2,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,Male,3,2,7295,1,13,3,1,3,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,Male,2,3,2306,2,20,4,4,3,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,Male,2,2,2348,8,18,3,3,2,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,Female,3,4,8998,1,14,3,4,2,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,Male,2,3,4319,1,13,3,1,1,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,Male,2,3,6132,2,17,3,3,2,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,Female,1,2,3346,4,20,4,2,3,2,1,0,0,0
40,No,Travel_Rarely,Sales,4,Male,3,4,10855,7,11,3,1,2,2,12,11,2,11
34,No,Travel_Frequently,Sales,2,Female,1,3,2231,6,18,3,4,3,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,Male,1,4,2323,1,24,4,1,6,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,Male,1,2,2024,6,18,3,4,1,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,Male,1,4,2713,1,11,3,3,2,1,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,Male,3,4,9439,3,16,3,2,2,1,5,3,1,4
27,No,Non-Travel,Research & Development,3,Male,1,3,2566,1,15,3,4,2,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,Female,5,2,19926,3,15,3,2,5,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,Male,1,3,2451,4,12,3,1,2,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,Female,3,4,9419,2,12,3,3,2,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,Female,2,4,8686,4,22,4,3,2,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,Male,1,3,3038,3,20,4,1,2,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,Male,1,2,3058,0,16,3,4,3,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,Female,1,1,2325,0,21,4,1,5,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,Male,1,2,2088,4,12,3,3,3,2,8,7,7,2
30,No,Non-Travel,Research & Development,9,Male,2,1,3072,1,11,3,3,4,3,12,9,6,10
45,No,Travel_Rarely,Sales,4,Female,2,1,5006,4,11,3,1,3,4,5,4,0,3
56,No,Travel_Rarely,Research & Development,8,Female,1,1,4257,4,18,3,3,3,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,Male,1,4,2500,0,14,3,1,2,4,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,2,Male,1,4,1102,1,22,4,3,3,2,1,0,1,0
46,No,Travel_Rarely,Sales,1,Female,3,1,10453,1,25,4,3,2,3,24,13,15,7
38,No,Travel_Rarely,Research & Development,9,Female,1,4,2288,1,12,3,3,3,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,12,Female,1,4,3929,8,23,4,3,0,3,4,2,0,2
34,No,Travel_Rarely,Research & Development,27,Female,1,2,2311,2,15,3,4,3,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,20,Female,1,2,3140,1,22,4,4,5,2,4,3,0,2
50,No,Travel_Rarely,Research & Development,1,Male,1,3,3690,2,15,3,4,2,2,3,2,0,2
53,No,Travel_Rarely,Research & Development,13,Female,2,1,4450,1,11,3,3,3,3,4,2,1,3
33,No,Travel_Rarely,Research & Development,14,Female,1,2,2756,1,13,3,4,5,3,8,7,1,6
40,No,Travel_Rarely,Research & Development,4,Female,5,3,19033,1,14,3,2,2,3,20,8,9,9
55,No,Travel_Rarely,Research & Development,14,Male,5,2,18722,8,11,3,4,3,3,24,15,2,15
34,No,Travel_Frequently,Research & Development,2,Male,2,3,9547,1,17,3,3,2,2,10,9,1,9
51,No,Travel_Rarely,Research & Development,3,Female,4,2,13734,3,18,3,3,6,3,7,7,1,0
52,No,Travel_Rarely,Research & Development,1,Male,5,3,19999,0,14,3,1,5,3,33,18,11,9
27,No,Travel_Rarely,Research & Development,9,Female,1,2,2279,1,16,3,4,2,2,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,23,Male,2,3,5916,3,13,3,1,1,3,1,0,0,1
43,No,Non-Travel,Research & Development,7,Male,1,4,2089,4,14,3,4,3,4,5,4,2,2
45,No,Non-Travel,Research & Development,2,Male,4,4,16792,9,23,4,4,1,3,20,8,11,8
37,No,Travel_Rarely,Research & Development,21,Male,1,1,3564,1,12,3,1,3,2,8,7,1,7
35,No,Travel_Frequently,Research & Development,2,Female,2,2,4425,5,11,3,4,5,3,6,2,1,2
42,No,Non-Travel,Research & Development,21,Female,2,3,5265,2,16,3,2,5,3,5,3,0,2
38,No,Travel_Rarely,Research & Development,2,Male,2,3,6553,9,14,3,2,3,3,1,0,0,0
38,No,Travel_Rarely,Research & Development,29,Male,2,4,6261,3,18,3,1,3,1,7,7,1,7
27,No,Travel_Frequently,Research & Development,1,Male,2,1,4298,5,19,3,3,1,3,2,2,2,0
49,No,Non-Travel,Research & Development,18,Male,2,4,6804,1,15,3,1,0,3,7,7,1,7
34,No,Travel_Frequently,Research & Development,10,Male,1,3,3815,1,17,3,4,4,4,5,3,2,0
40,No,Travel_Rarely,Research & Development,19,Male,2,4,2741,8,15,3,3,2,4,7,2,3,7
38,Yes,Travel_Rarely,Research & Development,29,Male,2,1,6673,7,19,3,2,2,3,1,0,0,0
29,Yes,Travel_Rarely,Sales,27,Female,3,4,7639,1,22,4,4,3,2,10,4,1,9
22,No,Travel_Rarely,Research & Development,5,Male,1,2,2328,1,16,3,1,2,2,4,2,2,2
36,No,Travel_Frequently,Research & Development,18,Female,1,4,2153,1,13,3,1,2,3,8,1,1,7
40,No,Non-Travel,Research & Development,9,Male,2,4,4876,9,14,3,4,5,1,3,2,0,2
46,No,Travel_Rarely,Research & Development,1,Male,3,1,9396,7,16,3,3,3,3,4,2,0,3
32,Yes,Travel_Rarely,Sales,4,Male,3,4,10400,1,11,3,3,2,2,14,8,9,8
30,No,Non-Travel,Research & Development,1,Male,3,3,8474,1,22,4,3,2,3,11,8,5,8
27,No,Travel_Frequently,Sales,20,Female,2,3,9981,1,14,3,4,2,3,7,7,0,7
51,No,Travel_Rarely,Research & Development,8,Male,3,2,12490,5,16,3,4,5,1,10,9,4,7
30,Yes,Travel_Rarely,Research & Development,3,Female,1,1,2657,5,11,3,3,5,3,5,2,0,4
41,No,Travel_Rarely,Sales,6,Female,3,4,13591,3,18,3,3,3,3,1,0,0,0
30,Yes,Travel_Frequently,Sales,26,Female,2,1,6696,5,15,3,3,5,2,6,3,0,1
29,Yes,Travel_Rarely,Research & Development,1,Male,1,3,2058,0,14,3,4,1,2,6,2,1,5
45,No,Non-Travel,Sales,6,Female,3,4,8865,6,12,3,4,2,3,19,7,12,8
54,No,Travel_Rarely,Sales,3,Female,2,1,5940,2,14,3,4,4,3,6,2,0,5
36,No,Travel_Rarely,Research & Development,5,Male,2,2,5914,8,16,3,4,3,4,13,11,3,7
33,No,Travel_Rarely,Research & Development,4,Female,1,2,2622,6,21,4,4,3,3,3,2,1,1
37,No,Travel_Frequently,Research & Development,11,Male,3,4,12185,1,14,3,3,1,3,10,8,0,7
38,No,Travel_Rarely,Sales,3,Male,3,3,10609,0,12,3,3,6,2,16,10,5,13
31,No,Non-Travel,Research & Development,1,Male,2,3,4345,0,12,3,4,2,3,5,4,1,4
59,No,Travel_Rarely,Research & Development,3,Male,1,4,2177,3,17,3,1,6,3,1,0,0,0
37,No,Travel_Frequently,Sales,4,Male,1,4,2793,4,17,3,3,2,3,9,8,5,8
29,No,Travel_Frequently,Sales,1,Female,3,4,7918,1,14,3,4,5,3,11,10,4,1
35,No,Travel_Frequently,Sales,1,Female,3,3,8789,1,14,3,1,3,4,10,7,0,8
29,Yes,Travel_Rarely,Research & Development,18,Male,1,4,2389,1,13,3,3,3,2,4,3,0,1
52,No,Travel_Rarely,Research & Development,2,Female,1,4,3212,7,15,3,2,3,2,2,2,2,2
42,No,Travel_Rarely,Research & Development,4,Male,5,4,19232,1,11,3,4,3,3,22,17,11,15
59,No,Travel_Rarely,Human Resources,6,Male,1,3,2267,8,17,3,4,2,2,2,2,2,2
50,No,Travel_Rarely,Sales,1,Female,5,4,19517,3,11,3,3,3,2,7,0,0,6
33,Yes,Travel_Rarely,Research & Development,14,Male,1,4,2436,5,13,3,3,2,1,5,4,0,4
43,No,Travel_Rarely,Sales,16,Female,4,4,16064,5,22,4,3,3,3,17,13,1,9
33,Yes,Travel_Rarely,Research & Development,2,Female,1,1,2707,7,20,4,1,3,4,9,7,1,7
52,No,Non-Travel,Sales,2,Male,5,3,19068,1,18,3,4,2,4,33,7,15,12
32,No,Travel_Rarely,Sales,4,Female,1,2,3931,2,11,3,1,5,3,4,3,1,2
32,Yes,Travel_Rarely,Research & Development,1,Male,1,3,3730,0,14,3,4,2,1,3,2,1,2
39,No,Travel_Rarely,Research & Development,1,Female,1,3,2232,7,14,3,3,1,3,3,2,1,2
32,No,Non-Travel,Sales,26,Male,2,4,4465,0,18,3,1,2,3,3,2,2,2
41,No,Travel_Rarely,Research & Development,19,Male,2,1,3072,2,16,3,1,2,2,1,0,0,0
40,No,Travel_Rarely,Research & Development,24,Male,2,4,3319,1,17,3,1,3,3,9,8,4,7
45,No,Travel_Rarely,Research & Development,1,Male,5,4,19202,0,11,3,3,2,3,24,0,1,7
31,No,Travel_Frequently,Research & Development,3,Male,3,3,13675,9,12,3,1,3,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,5,Female,1,4,2911,1,13,3,3,2,2,2,2,0,2
34,No,Travel_Rarely,Research & Development,2,Male,2,1,5957,6,13,3,2,3,3,11,9,5,9
37,No,Travel_Rarely,Research & Development,1,Female,1,1,3920,2,14,3,1,2,2,3,1,0,2
45,No,Travel_Frequently,Research & Development,7,Male,2,3,6434,4,17,3,4,1,3,3,2,0,2
37,Yes,Travel_Frequently,Research & Development,10,Male,3,3,10048,6,11,3,2,5,3,1,0,0,0
39,No,Travel_Frequently,Research & Development,2,Female,3,3,10938,0,25,4,4,1,3,19,6,11,8
29,No,Travel_Rarely,Research & Development,15,Male,1,4,2340,1,19,3,1,1,3,6,5,1,5
42,No,Travel_Rarely,Research & Development,17,Female,2,1,6545,3,13,3,3,1,3,3,2,0,2
29,No,Travel_Rarely,Sales,20,Male,2,4,6931,2,14,3,4,2,3,3,2,0,2
25,No,Travel_Rarely,Research & Development,1,Female,2,3,4898,0,12,3,4,3,3,4,2,1,2
42,No,Travel_Rarely,Research & Development,2,Female,1,1,2593,0,11,3,3,4,3,9,6,7,8
40,No,Travel_Rarely,Research & Development,2,Male,5,3,19436,0,19,3,4,5,3,21,7,3,9
51,No,Travel_Rarely,Research & Development,1,Male,1,4,2723,1,11,3,2,0,2,1,0,0,0
31,Yes,Travel_Frequently,Research & Development,29,Male,1,2,3479,0,11,3,2,2,4,5,4,1,4
32,No,Travel_Frequently,Research & Development,7,Male,1,2,2794,1,20,4,3,3,1,5,1,0,3
38,No,Non-Travel,Sales,2,Male,2,4,5249,3,18,3,4,0,3,8,7,7,5
32,No,Travel_Rarely,Research & Development,2,Male,2,1,2176,4,13,3,4,5,3,6,2,0,4
46,No,Travel_Rarely,Sales,2,Female,4,2,16872,3,12,3,2,2,2,7,7,7,7
28,Yes,Travel_Rarely,Research & Development,2,Male,1,3,3485,2,11,3,3,5,1,0,0,0,0
29,No,Travel_Rarely,Sales,2,Male,2,2,6644,2,19,3,2,2,3,0,0,0,0
31,No,Travel_Rarely,Research & Development,23,Male,2,4,5582,0,21,4,2,2,3,9,0,7,8
25,No,Non-Travel,Research & Development,5,Male,2,1,4000,1,12,3,4,2,3,6,3,1,5
45,No,Travel_Rarely,Research & Development,20,Male,4,4,13496,0,14,3,2,2,3,20,7,4,10
36,No,Travel_Rarely,Research & Development,6,Male,1,4,3210,0,11,3,3,4,3,15,13,10,11
